"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-06","6.93",,"0.85","0.0","0.0","55","58","48","   90","  100","15.0","19.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-07","18.57",,"0.96","0.0","0.0","49","51","44","   40","   40","29.1","36.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-08","19.01",,"0.00","0.0","0.0","50","58","44","   50","   50","30.0","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-09","19.69",,"0.00","0.0","0.0","56","70","45","   40","   40","32.0","38.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-10","16.33",,"0.00","0.0","0.0","60","73","50","   60","   40","30.0","36.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-11","12.53",,"0.00","0.0","0.0","60","74","53","   40","   40","28.0","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-12","7.16",,"0.00","0.0","0.0","61","71","53","  100","  100","15.0","19.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-13","6.04",,"0.00","0.0","0.0","62","75","57","  120","  120","16.1","19.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-14","5.14",,"0.15","0.0","0.0","62","70","57","  130","  130","18.1","23.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-15","6.49",,"0.00","0.0","0.0","62","73","55","  170","  180","15.0","19.0","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-16","9.40",,"0.09","0.0","0.0","63","69","59","  300","  300","21.9","28.0","    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-17","16.33",,"0.00","0.0","0.0","67","79","57","  270","  290","30.0","40.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-18","14.32",,"0.00","0.0","0.0","63","70","56","  190","  190","23.9","27.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-19","7.61",,"1.04","0.0","0.0","57","63","54","  170","   90","15.0","19.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-20","6.93",,"0.49","0.0","0.0","58","69","52","  270","  270","19.9","25.1","    1","    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-21","8.05",,"0.00","0.0","0.0","68","87","59","  180","  180","21.0","27.1","    1","    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-05-22","9.17",,"0.00","0.0","0.0","73","84","65","  190","  180","21.9","28.0",,,,,
